id_oferta,fecha_publicacion,ciudad,rol,skills,salario_mensual_mxn,exp_requerida,modalidad
1,2024-02-27,GDL,ML Engineer,"Python, SQL",67207,2,remoto
2,2024-05-19,MTY,Frontend,"JavaScript, Docker",40537,3,híbrido
3,2024-01-22,CDMX,DevOps,"AWS, Docker, Python",44041,5,híbrido
4,2024-05-16,CDMX,Data Engineer,"Airflow, Python",50365,3,remoto
5,2024-05-25,CDMX,Data Analyst,"Power BI, Tableau, SQL",21676,3,híbrido
6,2024-02-21,CDMX,DevOps,"AWS, Docker, Python",55543,2,remoto
7,2024-01-01,MTY,Data Engineer,"Python, AWS, SQL",66650,2,remoto
8,2024-03-17,MTY,Data Analyst,"Tableau, SQL",41185,2,remoto
9,2024-05-11,GDL,Data Engineer,"SQL, Airflow, AWS, Python",38374,4,remoto
10,2024-06-06,GDL,Data Engineer,"Airflow, Python, AWS, SQL",52754,2,híbrido
11,2024-03-18,CDMX,Frontend,"JavaScript, Docker",54025,3,híbrido
12,2024-01-16,MTY,ML Engineer,"AWS, Python, SQL",59967,4,remoto
13,2024-05-25,MTY,Data Analyst,"Python, Power BI",23277,3,híbrido
14,2024-02-22,Puebla,Data Analyst,"Python, Power BI, SQL",40785,5,híbrido
15,2024-05-16,MTY,DevOps,"Docker, Python, AWS",51424,1,presencial
16,2024-01-12,MTY,DevOps,"AWS, Docker",38525,3,presencial
17,2024-01-27,GDL,Data Analyst,"Python, SQL",28980,1,presencial
18,2024-03-04,CDMX,Frontend,"Docker, JavaScript",33659,1,presencial
19,2024-05-10,MTY,DevOps,"AWS, Python",70873,4,remoto
20,2024-01-23,MTY,DevOps,"Docker, Python, AWS",40772,4,remoto
21,2024-03-09,CDMX,ML Engineer,"Python, Pandas, SQL, AWS",64990,2,remoto
22,2024-04-24,CDMX,DevOps,"Python, AWS, Docker",64213,2,remoto
23,2024-03-20,Puebla,Frontend,"Docker, JavaScript",58221,2,remoto
24,2024-02-01,CDMX,Frontend,"Docker, JavaScript",43819,5,remoto
25,2024-06-02,CDMX,Data Analyst,"Tableau, Power BI, SQL",24851,5,presencial
26,2024-03-27,MTY,Data Engineer,"Python, SQL, AWS",46528,5,presencial
27,2024-03-03,MTY,Data Engineer,"AWS, SQL, Python",36064,3,híbrido
28,2024-05-09,GDL,DevOps,"Docker, AWS, Python",51255,3,remoto
29,2024-06-15,CDMX,Data Engineer,"Airflow, SQL",23991,1,remoto
30,2024-01-26,CDMX,Data Analyst,"Python, Power BI, Tableau",55692,3,presencial
31,2024-05-06,CDMX,Data Engineer,"Airflow, AWS, Python, SQL",50274,3,híbrido
32,2024-04-18,MTY,Frontend,"JavaScript, Docker",45341,2,híbrido
33,2024-05-15,CDMX,Data Engineer,"Python, AWS, Airflow",50429,4,remoto
34,2024-05-06,GDL,Frontend,"JavaScript, Docker",28401,3,remoto
35,2024-05-19,Querétaro,Data Engineer,"SQL, AWS, Airflow",37244,1,híbrido
36,2024-05-01,CDMX,Data Engineer,"Airflow, AWS, SQL",63332,5,remoto
37,2024-05-18,MTY,Data Engineer,"Python, SQL, AWS, Airflow",47105,2,híbrido
38,2024-03-20,MTY,Data Engineer,"SQL, Airflow",39631,1,híbrido
39,2024-05-21,GDL,Data Engineer,"Airflow, AWS, SQL",42915,1,híbrido
40,2024-04-23,CDMX,Frontend,"Docker, JavaScript",40289,5,presencial
41,2024-04-17,GDL,DevOps,"Docker, Python",60661,1,híbrido
42,2024-06-12,CDMX,Frontend,"Docker, JavaScript",54786,2,híbrido
43,2024-02-02,GDL,Frontend,"Docker, JavaScript",53927,2,presencial
44,2024-05-11,Querétaro,Frontend,"JavaScript, Docker",33647,1,remoto
45,2024-02-11,Querétaro,Frontend,"Docker, JavaScript",25401,2,híbrido
46,2024-02-08,CDMX,ML Engineer,"AWS, SQL, Pandas",62913,2,híbrido
47,2024-06-22,GDL,Backend,"Docker, AWS, Python, Java",45186,1,remoto
48,2024-01-23,Querétaro,Backend,"Docker, Python",40450,5,híbrido
49,2024-05-20,CDMX,DevOps,"Python, AWS",33082,5,remoto
50,2024-03-16,Querétaro,ML Engineer,"SQL, Pandas",35039,2,híbrido
51,2024-06-03,CDMX,Data Analyst,"SQL, Tableau, Python, Power BI",17487,3,híbrido
52,2024-05-07,GDL,DevOps,"AWS, Python",51663,2,presencial
53,2024-03-13,GDL,Data Analyst,"Python, Tableau, SQL",44966,3,presencial
54,2024-04-26,Puebla,Data Analyst,"Python, Power BI",34908,3,remoto
55,2024-05-17,CDMX,Backend,"AWS, Python, Docker, Java",47612,1,remoto
56,2024-05-08,CDMX,ML Engineer,"Python, AWS",45546,1,híbrido
57,2024-03-03,Puebla,Frontend,"Docker, JavaScript",44478,3,presencial
58,2024-04-26,Querétaro,ML Engineer,"AWS, Pandas, SQL",57039,4,remoto
59,2024-03-08,CDMX,DevOps,"Python, AWS, Docker",29719,3,remoto
60,2024-02-08,Puebla,Data Engineer,"Python, AWS, Airflow",36341,1,remoto
61,2024-01-09,CDMX,Frontend,"JavaScript, Docker",44404,3,híbrido
62,2024-02-25,CDMX,DevOps,"Python, Docker",46978,3,remoto
63,2024-02-04,Querétaro,Frontend,"Docker, JavaScript",37541,1,remoto
64,2024-05-21,Querétaro,ML Engineer,"SQL, Pandas, AWS",46725,1,híbrido
65,2024-05-02,MTY,Frontend,"Docker, JavaScript",43601,1,híbrido
66,2024-06-01,CDMX,Frontend,"JavaScript, Docker",15000,1,híbrido
67,2024-02-01,GDL,Frontend,"Docker, JavaScript",43058,2,remoto
68,2024-05-16,MTY,Frontend,"JavaScript, Docker",38394,3,remoto
69,2024-04-17,Querétaro,DevOps,"Docker, Python, AWS",51661,3,remoto
70,2024-02-25,CDMX,Backend,"AWS, Docker, Java",54180,1,remoto
71,2024-05-01,GDL,ML Engineer,"Pandas, SQL, Python, AWS",66215,3,híbrido
72,2024-01-19,Querétaro,Data Engineer,"Python, SQL, Airflow, AWS",44512,1,remoto
73,2024-01-19,CDMX,DevOps,"Python, Docker, AWS",55931,2,híbrido
74,2024-04-15,MTY,DevOps,"Docker, AWS, Python",53729,3,remoto
75,2024-06-18,GDL,Backend,"Java, AWS, Python, Docker",31106,2,remoto
76,2024-03-08,MTY,ML Engineer,"SQL, AWS, Pandas, Python",52245,2,presencial
77,2024-06-15,CDMX,Data Analyst,"Power BI, Python, Tableau",34699,2,remoto
78,2024-06-13,GDL,DevOps,"AWS, Python",61507,3,remoto
79,2024-05-04,Querétaro,ML Engineer,"Python, SQL",55721,4,remoto
80,2024-04-22,MTY,Backend,"Docker, Java, Python",61598,2,remoto
81,2024-01-25,GDL,DevOps,"Python, AWS, Docker",33342,4,híbrido
82,2024-05-20,CDMX,Data Engineer,"Airflow, SQL",42940,4,híbrido
83,2024-06-10,MTY,ML Engineer,"AWS, Pandas, Python, SQL",55636,5,remoto
